season,year,week,weekly_rate,year_week,region_network,American Indian/Alaska Native,Asian/Pacific Islander,Black,Hispanic/Latino,White,0-4 yr,12-17 yr,18-29 yr,18-49 yr,30-39 yr,40-49 yr,5-11  yr,5-17 yr,50-64 yr,65+ yr,65-74 yr,75-84 yr,85+,< 18,>= 18,Female,Male
2009-10,2009,40,1.3,200940,CaliforniaEIP,0,0.7,2.9,1.6,1.1,5.5,1.7,0.9,1.1,1,1.6,1.1,1.4,0.6,1.2,1.4,1.5,0,2.5,1,1.5,1.2
2009-10,2009,41,1.4,200941,CaliforniaEIP,6.8,4.1,10.9,9.7,4.7,15.5,2.6,9.2,7.6,5.7,7.6,10.6,7,8.5,9.7,10.6,9.3,6.5,9.5,8.1,9.6,7.2
2009-10,2009,42,1.9,200942,CaliforniaEIP,0,0,0,0.8,0,2,0,0,0,0,0,0,0,0.6,0,0,0,0,0.5,0.2,0.4,0
2009-10,2009,43,1.9,200943,CaliforniaEIP,5.6,1.4,3.2,4.6,1.6,6.4,1.8,2.4,2.2,1.8,2.2,4.6,3.3,2.3,2.3,2.7,2,1.7,4.2,2.2,2.9,2.4
2009-10,2009,44,2.2,200944,CaliforniaEIP,4.3,1.3,3.6,4.8,1.7,7.2,2.1,2.3,2.1,1.8,2.2,5.1,3.7,2.4,2.3,2.6,2.1,1.4,4.7,2.2,3,2.6
2009-10,2009,45,1.6,200945,CaliforniaEIP,0,0.4,1,0.9,0.4,0.7,0,0.8,0.8,0.7,1.1,0,0,1,1,1.7,0,0,0.2,0.9,1,0.4
2009-10,2009,46,1.5,200946,CaliforniaEIP,12.3,1.6,7.8,4.3,2.5,12.7,4.6,3.6,2.9,2.7,2.5,8.2,6.5,2.7,3,2.9,2.8,4.3,8.2,2.9,4.9,3.3
2009-10,2009,47,1,200947,CaliforniaEIP,0,2.1,3.6,3.1,2.2,5.2,2.9,1.4,1.2,0.5,1.6,10.4,6.9,1,2.3,3.8,1,0,6.4,1.3,1.9,3.2
2009-10,2009,48,0.6,200948,CaliforniaEIP,8.9,9.4,0,8.4,2.6,16.6,4.3,5,4.5,5.8,2.7,11.5,8.2,7.4,4.8,3.7,4.2,11.1,10.6,5.3,7.1,6
2009-10,2009,49,0.6,200949,CaliforniaEIP,0,0,0,0,0.2,0,1.2,0,0,0,0,0,0.6,0.5,0,0,0,0,0.4,0.1,0.2,0.2
2009-10,2009,50,0.7,200950,CaliforniaEIP,0,3.5,0.8,0,0.2,0,0,0,0,0,0,1,0.5,0.9,0.6,1.2,0,0,0.4,0.3,0.2,0.5
2009-10,2009,51,0.4,200951,CaliforniaEIP,0,0.5,3.1,1.7,1.2,3.5,1.7,1.4,1.1,1,1,1.1,1.4,1.3,1.7,2.9,0.8,0,2,1.3,1.5,1.3
2009-10,2009,52,0.5,200952,CaliforniaEIP,13.6,3.1,13,5.8,5.1,17.2,2.6,8.2,7,6.2,6.5,6.3,4.7,11.2,8.4,6.8,10.6,9.7,8.3,8.2,7.7,8.8
